player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,26,252,David Raya Martín,Raya,1,33.9,6.0,1,5,Away,2026-02-12T20:00:00Z,1,1,90,0,0,0,1,0,0,0,13,2,0.00,0.00,0.00,1.51,0,2.0,20.0,0.0,0.0,,a,,,,
1,154561,26,310,David Raya Martín,Raya,1,33.9,6.0,1,20,Away,2026-02-18T20:00:00Z,2,2,90,0,0,0,2,0,0,0,-3,1,0.00,0.00,0.00,0.29,0,0.0,0.0,0.0,0.0,,a,,,,
2,109745,26,252,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
2,109745,26,310,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
3,463748,26,252,Karl Hein,Hein,1,0.2,4.0,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,u,Has joined Werder Bremen on loan for the rest of the season.,,,
3,463748,26,310,Karl Hein,Hein,1,0.2,4.0,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,26,252,Tommy Setford,Setford,1,0.2,3.9,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
4,551221,26,310,Tommy Setford,Setford,1,0.2,3.9,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
5,226597,26,252,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,5,Away,2026-02-12T20:00:00Z,1,1,90,0,0,0,1,1,0,0,14,3,0.12,0.03,0.15,1.51,18,5.7,43.0,6.4,8.0,,a,,,,
5,226597,26,310,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,20,Away,2026-02-18T20:00:00Z,2,2,90,0,1,0,2,0,0,0,21,4,0.00,0.14,0.14,0.29,6,4.8,32.8,15.0,0.0,,a,,,,
6,462424,26,252,William Saliba,Saliba,2,14.3,6.1,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
6,462424,26,310,William Saliba,Saliba,2,14.3,6.1,1,20,Away,2026-02-18T20:00:00Z,2,2,90,0,0,0,2,0,0,0,7,1,0.00,0.01,0.01,0.29,8,2.1,18.0,2.7,0.0,,a,,,,
7,466075,26,252,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,5,Away,2026-02-12T20:00:00Z,1,1,9,0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.33,1,0.3,1.4,1.3,0.0,,d,Knock - 75% chance of playing,,,
7,466075,26,310,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,20,Away,2026-02-18T20:00:00Z,2,2,1,0,0,0,1,0,0,0,-1,1,0.00,0.01,0.01,0.17,0,0.1,0.2,0.3,0.0,,d,Knock - 75% chance of playing,,,
8,445122,26,252,Jurriën Timber,J.Timber,2,19.7,6.1,1,5,Away,2026-02-12T20:00:00Z,1,1,90,0,0,0,1,0,0,0,15,2,0.00,0.10,0.10,1.51,3,3.9,13.0,21.8,4.0,,i,Ankle injury - Unknown return date,,,
8,445122,26,310,Jurriën Timber,J.Timber,2,19.7,6.1,1,20,Away,2026-02-18T20:00:00Z,2,2,90,0,0,0,2,0,0,0,9,1,0.00,0.03,0.03,0.29,4,2.7,13.2,8.1,6.0,,i,Ankle injury - Unknown return date,,,
9,440854,26,252,Jakub Kiwior,Kiwior,2,0.0,5.4,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,u,has joined Porto on loan for the rest of the season.,,,
9,440854,26,310,Jakub Kiwior,Kiwior,2,0.0,5.4,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,u,has joined Porto on loan for the rest of the season.,,,
10,499169,26,252,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
10,499169,26,310,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
11,198869,26,252,Benjamin White,White,2,0.5,5.1,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
11,198869,26,310,Benjamin White,White,2,0.5,5.1,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
12,206325,26,257,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,20,Home,2026-02-11T19:30:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,
13,563324,26,252,Brayden Clarke,Clarke,2,0.4,3.7,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
13,563324,26,310,Brayden Clarke,Clarke,2,0.4,3.7,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
14,588793,26,252,Maldini Kacurri,Kacurri,2,0.1,3.9,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,u,has joined Morecambe on loan for the rest of the season.,,,
14,588793,26,310,Maldini Kacurri,Kacurri,2,0.1,3.9,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,u,has joined Morecambe on loan for the rest of the season.,,,
15,499167,26,252,Josh Nichols,Nichols,2,0.2,3.7,1,5,Away,2026-02-12T20:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
15,499167,26,310,Josh Nichols,Nichols,2,0.2,3.7,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,,,
16,223340,26,252,Bukayo Saka,Saka,3,7.0,9.8,1,5,Away,2026-02-12T20:00:00Z,1,1,20,0,0,0,1,0,0,0,2,1,0.00,0.00,0.00,0.74,1,0.3,0.2,0.3,2.0,,d,Achilles injury - 75% chance of playing,2.0,2.0,1.0
16,223340,26,310,Bukayo Saka,Saka,3,7.0,9.8,1,20,Away,2026-02-18T20:00:00Z,2,2,72,1,0,0,1,0,0,3,37,12,0.55,0.13,0.68,0.12,18,11.6,51.6,20.9,43.0,,d,Achilles injury - 75% chance of playing,2.0,2.0,1.0
17,184029,26,252,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,5,Away,2026-02-12T20:00:00Z,1,1,45,0,0,0,1,0,0,0,3,1,0.04,0.07,0.11,1.09,4,1.5,1.0,3.6,10.0,,a,,4.0,,3.0
17,184029,26,310,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,20,Away,2026-02-18T20:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,,a,,4.0,,3.0
18,248857,26,252,Noni Madueke,Madueke,3,0.8,6.8,1,5,Away,2026-02-12T20:00:00Z,1,1,69,1,0,1,0,0,0,3,32,11,0.19,0.05,0.24,0.76,6,8.0,42.0,7.1,31.0,,a,,3.0,,
18,248857,26,310,Noni Madueke,Madueke,3,0.8,6.8,1,20,Away,2026-02-18T20:00:00Z,2,2,64,0,0,0,1,0,0,0,5,2,0.14,0.03,0.17,0.12,1,4.0,2.6,7.4,30.0,,a,,3.0,,
19,444145,26,252,Gabriel Martinelli Silva,Martinelli,3,0.9,6.8,1,5,Away,2026-02-12T20:00:00Z,1,1,9,0,0,0,0,0,0,0,3,1,0.07,0.00,0.07,0.33,1,2.2,5.2,0.0,17.0,,a,,,,
19,444145,26,310,Gabriel Martinelli Silva,Martinelli,3,0.9,6.8,1,20,Away,2026-02-18T20:00:00Z,2,2,90,0,0,0,2,0,0,0,7,2,0.63,0.12,0.75,0.29,10,9.1,13.8,28.8,48.0,,a,,,,
20,116216,26,252,Leandro Trossard,Trossard,3,0.8,6.5,1,5,Away,2026-02-12T20:00:00Z,1,1,80,0,0,0,1,0,0,0,14,2,0.17,0.11,0.28,1.18,4,4.6,9.8,21.2,15.0,,a,,,,4.0
20,116216,26,310,Leandro Trossard,Trossard,3,0.8,6.5,1,20,Away,2026-02-18T20:00:00Z,2,2,20,0,0,0,0,0,0,0,1,1,0.01,0.00,0.01,0.00,3,0.7,1.2,0.3,5.0,,a,,,,4.0
21,204480,26,252,Declan Rice,Rice,3,24.5,7.2,1,5,Away,2026-02-12T20:00:00Z,1,1,90,0,0,0,1,0,0,1,23,5,0.00,0.11,0.11,1.51,12,7.5,23.0,45.8,6.0,,a,,1.0,1.0,
