id,code,first_name,second_name,web_name,photo,element_type
463,618873,Sékou,Koné,Kone,https://resources.premierleague.com/premierleague25/photos/players/110x140/618873.png,3
464,559684,Jack,Moorhouse,Moorhouse,https://resources.premierleague.com/premierleague25/photos/players/110x140/559684.png,3
465,497894,Rasmus,Højlund,Højlund,https://resources.premierleague.com/premierleague25/photos/players/110x140/497894.png,4
466,458249,Joshua,Zirkzee,Zirkzee,https://resources.premierleague.com/premierleague25/photos/players/110x140/458249.png,4
467,596047,Chido,Obi,Obi,https://resources.premierleague.com/premierleague25/photos/players/110x140/596047.png,4
468,575034,Ethan,Wheatley,Wheatley,https://resources.premierleague.com/premierleague25/photos/players/110x140/575034.png,4
681,485711,Benjamin,Sesko,Šeško,https://resources.premierleague.com/premierleague25/photos/players/110x140/485711.png,4
733,465247,Senne,Lammens,Lammens,https://resources.premierleague.com/premierleague25/photos/players/110x140/465247.png,1
755,576628,Shea,Lacey,Lacey,https://resources.premierleague.com/premierleague25/photos/players/110x140/576628.png,3
769,576620,Bendito,Mantato,Bendito Mantato,https://resources.premierleague.com/premierleague25/photos/players/110x140/576620.png,3
771,519913,Tyler,Fletcher,Fletcher,https://resources.premierleague.com/premierleague25/photos/players/110x140/519913.png,3
788,576637,Godwill,Kukonki,Kukonki,https://resources.premierleague.com/premierleague25/photos/players/110x140/576637.png,2
827,576634,Jim,Thwaites,Thwaites,https://resources.premierleague.com/premierleague25/photos/players/110x140/576634.png,3
52,232653,Jacob,Ramsey,J.Ramsey,https://resources.premierleague.com/premierleague25/photos/players/110x140/232653.png,3
135,216646,Yoane,Wissa,Wissa,https://resources.premierleague.com/premierleague25/photos/players/110x140/216646.png,4
469,98747,Nick,Pope,Pope,https://resources.premierleague.com/premierleague25/photos/players/110x140/98747.png,1
471,81441,Mark,Gillespie,Gillespie,https://resources.premierleague.com/premierleague25/photos/players/110x140/81441.png,1
472,111452,Odysseas,Vlachodimos,Odysseas,https://resources.premierleague.com/premierleague25/photos/players/110x140/111452.png,1
473,487838,Lewis,Hall,Hall,https://resources.premierleague.com/premierleague25/photos/players/110x140/487838.png,2
474,119471,Fabian,Schär,Schär,https://resources.premierleague.com/premierleague25/photos/players/110x140/119471.png,2
475,220237,Sven,Botman,Botman,https://resources.premierleague.com/premierleague25/photos/players/110x140/220237.png,2
476,78916,Dan,Burn,Burn,https://resources.premierleague.com/premierleague25/photos/players/110x140/78916.png,2
477,441191,Tino,Livramento,Livramento,https://resources.premierleague.com/premierleague25/photos/players/110x140/441191.png,2
478,77794,Kieran,Trippier,Trippier,https://resources.premierleague.com/premierleague25/photos/players/110x140/77794.png,2
479,111773,Emil,Krafth,Krafth,https://resources.premierleague.com/premierleague25/photos/players/110x140/111773.png,2
480,101148,Jamaal,Lascelles,Lascelles,https://resources.premierleague.com/premierleague25/photos/players/110x140/101148.png,2
481,545477,Alex,Murphy,A.Murphy,https://resources.premierleague.com/premierleague25/photos/players/110x140/545477.png,2
482,441024,Harrison,Ashby,Ashby,https://resources.premierleague.com/premierleague25/photos/players/110x140/441024.png,2
483,578512,Miodrag,Pivaš,Pivas,https://resources.premierleague.com/premierleague25/photos/players/110x140/578512.png,2
484,169359,Matt,Targett,Targett,https://resources.premierleague.com/premierleague25/photos/players/110x140/169359.png,2
485,232826,Anthony,Gordon,Gordon,https://resources.premierleague.com/premierleague25/photos/players/110x140/232826.png,3
486,449434,Anthony,Elanga,Elanga,https://resources.premierleague.com/premierleague25/photos/players/110x140/449434.png,3
487,201666,Harvey,Barnes,Barnes,https://resources.premierleague.com/premierleague25/photos/players/110x140/201666.png,3
488,208706,Bruno,Guimarães Rodriguez Moura,Bruno G.,https://resources.premierleague.com/premierleague25/photos/players/110x140/208706.png,3
489,114243,Jacob,Murphy,J.Murphy,https://resources.premierleague.com/premierleague25/photos/players/110x140/114243.png,3
490,180974,Joelinton Cássio,Apolinário de Lira,Joelinton,https://resources.premierleague.com/premierleague25/photos/players/110x140/180974.png,3
491,432422,Sandro,Tonali,Tonali,https://resources.premierleague.com/premierleague25/photos/players/110x140/432422.png,3
492,640108,Antoñito,Cordero Campillo,Antoñito C.,https://resources.premierleague.com/premierleague25/photos/players/110x140/640108.png,3
494,200089,Joe,Willock,Willock,https://resources.premierleague.com/premierleague25/photos/players/110x140/200089.png,3
495,153127,Isaac,Hayden,Hayden,https://resources.premierleague.com/premierleague25/photos/players/110x140/153127.png,3
496,564510,Garang,Kuol,Kuol,https://resources.premierleague.com/premierleague25/photos/players/110x140/564510.png,3
497,547719,Lewis,Miley,L.Miley,https://resources.premierleague.com/premierleague25/photos/players/110x140/547719.png,3
498,461484,Joe,White,White,https://resources.premierleague.com/premierleague25/photos/players/110x140/461484.png,3
500,538207,William,Osula,Osula,https://resources.premierleague.com/premierleague25/photos/players/110x140/538207.png,4
501,599303,Sean,Neave,Neave,https://resources.premierleague.com/premierleague25/photos/players/110x140/599303.png,4
674,225321,Aaron,Ramsdale,Ramsdale,https://resources.premierleague.com/premierleague25/photos/players/110x140/225321.png,1
684,465642,Malick,Thiaw,Thiaw,https://resources.premierleague.com/premierleague25/photos/players/110x140/465642.png,2
689,623110,Seung-Soo,Park,Seung soo,https://resources.premierleague.com/premierleague25/photos/players/110x140/623110.png,3
714,470313,Nick,Woltemade,Woltemade,https://resources.premierleague.com/premierleague25/photos/players/110x140/470313.png,4
753,19236,John,Ruddy,Ruddy,https://resources.premierleague.com/premierleague25/photos/players/110x140/19236.png,1
765,553746,Leo,Shahar,Shahar,https://resources.premierleague.com/premierleague25/photos/players/110x140/553746.png,2
772,666607,Sam,Alabi,Alabi,https://resources.premierleague.com/premierleague25/photos/players/110x140/666607.png,3
12,206325,Oleksandr,Zinchenko,Zinchenko,https://resources.premierleague.com/premierleague25/photos/players/110x140/206325.png,2
400,88248,Stefan,Ortega Moreno,Ortega Moreno,https://resources.premierleague.com/premierleague25/photos/players/110x140/88248.png,1
426,432714,James,McAtee,McAtee,https://resources.premierleague.com/premierleague25/photos/players/110x140/432714.png,3
502,85633,Matz,Sels,Sels,https://resources.premierleague.com/premierleague25/photos/players/110x140/85633.png,1
503,475123,Carlos Miguel,dos Santos Pereira,C.Miguel,https://resources.premierleague.com/premierleague25/photos/players/110x140/475123.png,1
504,224068,Matt,Turner,Turner,https://resources.premierleague.com/premierleague25/photos/players/110x140/224068.png,1
505,227444,Nikola,Milenković,Milenković,https://resources.premierleague.com/premierleague25/photos/players/110x140/227444.png,2
506,575476,Murillo,Costa dos Santos,Murillo,https://resources.premierleague.com/premierleague25/photos/players/110x140/575476.png,2
507,159506,Ola,Aina,Aina,https://resources.premierleague.com/premierleague25/photos/players/110x140/159506.png,2
508,215136,Neco,Williams,N.Williams,https://resources.premierleague.com/premierleague25/photos/players/110x140/215136.png,2
509,451432,David,Mota Veiga Teixeira do Carmo,David Carmo,https://resources.premierleague.com/premierleague25/photos/players/110x140/451432.png,2
510,575458,Jair,Paula da Cunha Filho,Jair Cunha,https://resources.premierleague.com/premierleague25/photos/players/110x140/575458.png,2
511,485047,Felipe,Rodrigues da Silva,Morato,https://resources.premierleague.com/premierleague25/photos/players/110x140/485047.png,2
512,204822,Omar,Richards,O.Richards,https://resources.premierleague.com/premierleague25/photos/players/110x140/204822.png,2
513,549067,Zach,Abbott,Abbott,https://resources.premierleague.com/premierleague25/photos/players/110x140/549067.png,2
514,90585,Willy,Boly,Boly,https://resources.premierleague.com/premierleague25/photos/players/110x140/90585.png,2
515,222531,Morgan,Gibbs-White,Gibbs-White,https://resources.premierleague.com/premierleague25/photos/players/110x140/222531.png,3
516,209046,Callum,Hudson-Odoi,Hudson-Odoi,https://resources.premierleague.com/premierleague25/photos/players/110x140/209046.png,3
517,215379,Elliot,Anderson,Anderson,https://resources.premierleague.com/premierleague25/photos/players/110x140/215379.png,3
518,510500,João Pedro,Ferreira da Silva,Jota,https://resources.premierleague.com/premierleague25/photos/players/110x140/510500.png,3
519,250199,Nicolás,Domínguez,Dominguez,https://resources.premierleague.com/premierleague25/photos/players/110x140/250199.png,3
520,243345,Lewis,O'Brien,O'Brien,https://resources.premierleague.com/premierleague25/photos/players/110x140/243345.png,3
521,210462,Ibrahim,Sangaré,Sangaré,https://resources.premierleague.com/premierleague25/photos/players/110x140/210462.png,3
522,204968,Ryan,Yates,Yates,https://resources.premierleague.com/premierleague25/photos/players/110x140/204968.png,3
523,569014,Eric,da Silva Moreira,Da Silva Moreira,https://resources.premierleague.com/premierleague25/photos/players/110x140/569014.png,3
524,495161,Marko,Stamenić,Stamenic,https://resources.premierleague.com/premierleague25/photos/players/110x140/495161.png,3
525,60689,Chris,Wood,Wood,https://resources.premierleague.com/premierleague25/photos/players/110x140/60689.png,4
526,482973,Igor Jesus,Maciel da Cruz,Igor Jesus,https://resources.premierleague.com/premierleague25/photos/players/110x140/482973.png,4
527,210156,Taiwo,Awoniyi,Awoniyi,https://resources.premierleague.com/premierleague25/photos/players/110x140/210156.png,4
669,456512,Dan,Ndoye,Ndoye,https://resources.premierleague.com/premierleague25/photos/players/110x140/456512.png,3
675,107265,Angus,Gunn,Gunn,https://resources.premierleague.com/premierleague25/photos/players/110x140/107265.png,1
693,503301,Omari,Hutchinson,Hutchinson,https://resources.premierleague.com/premierleague25/photos/players/110x140/503301.png,3
696,465680,Arnaud,Kalimuendo,Kalimuendo,https://resources.premierleague.com/premierleague25/photos/players/110x140/465680.png,4
715,221389,John Victor,Maciel Furtado,John,https://resources.premierleague.com/premierleague25/photos/players/110x140/221389.png,1
716,500151,Nicolò,Savona,Savona,https://resources.premierleague.com/premierleague25/photos/players/110x140/500151.png,2
729,560441,Luis Eduardo,Soares da Silva,Cuiabano,https://resources.premierleague.com/premierleague25/photos/players/110x140/560441.png,2
734,476887,Dilane,Bakwa,Bakwa,https://resources.premierleague.com/premierleague25/photos/players/110x140/476887.png,3
