player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,2,11,David Raya Martín,Raya,1,33.9,6.0,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,28,6,0.00,0.00,0.00,0.17,0,1.3,13.4,0.0,0.0,False,a,,,,
2,109745,2,11,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
3,463748,2,11,Karl Hein,Hein,1,0.2,4.0,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,2,11,Tommy Setford,Setford,1,0.2,3.9,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
5,226597,2,11,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,26,6,0.04,0.01,0.05,0.17,3,2.3,13.4,3.3,6.0,False,a,,,,
6,462424,2,11,William Saliba,Saliba,2,14.3,6.1,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,27,6,0.00,0.01,0.01,0.17,5,2.3,18.4,2.1,2.0,False,a,,,,
7,466075,2,11,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,11,Home,2025-08-23T16:30:00Z,5,0,63,0,2,1,0,0,0,1,38,13,0.39,0.01,0.40,0.17,1,8.1,38.0,21.4,22.0,True,d,Knock - 75% chance of playing,,,
8,445122,2,11,Jurriën Timber,J.Timber,2,19.7,6.1,1,11,Home,2025-08-23T16:30:00Z,5,0,63,2,1,1,0,0,0,3,68,24,0.81,0.05,0.86,0.17,6,19.9,95.0,28.5,75.0,True,i,Ankle injury - Unknown return date,,,
9,440854,2,11,Jakub Kiwior,Kiwior,2,0.0,5.4,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,
10,499169,2,11,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,11,Home,2025-08-23T16:30:00Z,5,0,26,0,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,1,0.8,4.2,3.7,0.0,False,a,,,,
11,198869,2,11,Benjamin White,White,2,0.5,5.1,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
12,206325,2,11,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,1,Away,2025-08-23T16:30:00Z,0,5,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,
13,563324,2,11,Brayden Clarke,Clarke,2,0.4,3.7,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
14,588793,2,11,Maldini Kacurri,Kacurri,2,0.1,3.9,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,
15,499167,2,11,Josh Nichols,Nichols,2,0.2,3.7,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
16,223340,2,11,Bukayo Saka,Saka,3,7.0,9.8,1,11,Home,2025-08-23T16:30:00Z,5,0,52,1,0,0,0,0,0,0,27,6,0.11,0.03,0.14,0.17,4,9.2,40.4,30.4,21.0,False,d,Achilles injury - 75% chance of playing,2.0,2.0,1.0
17,184029,2,11,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,11,Home,2025-08-23T16:30:00Z,5,0,37,0,0,0,0,0,0,0,5,1,0.05,0.05,0.10,0.17,2,0.9,1.6,4.4,3.0,False,a,,4.0,,3.0
18,248857,2,11,Noni Madueke,Madueke,3,0.8,6.8,1,11,Home,2025-08-23T16:30:00Z,5,0,63,0,0,1,0,0,0,0,10,3,0.00,0.09,0.09,0.17,3,4.3,5.6,26.9,10.0,False,a,,3.0,,
19,444145,2,11,Gabriel Martinelli Silva,Martinelli,3,0.9,6.8,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
20,116216,2,11,Leandro Trossard,Trossard,3,0.8,6.5,1,11,Home,2025-08-23T16:30:00Z,5,0,37,0,0,0,0,0,0,0,4,1,0.07,0.03,0.10,0.00,0,3.1,5.4,21.5,4.0,False,a,,,,4.0
21,204480,2,11,Declan Rice,Rice,3,24.5,7.2,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,1,1,0,0,0,0,26,6,0.00,0.54,0.54,0.17,3,7.7,25.2,50.0,2.0,False,a,,1.0,1.0,
22,195384,2,11,Mikel Merino Zazón,Merino,3,0.8,5.4,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,i,Foot injury - Unknown return date,,,
23,438098,2,11,Fábio Ferreira Vieira,Fábio Vieira,3,0.0,5.4,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger on loan for the rest of the season.,,,
24,128295,2,11,Christian Nørgaard,Nørgaard,3,0.1,5.1,1,11,Home,2025-08-23T16:30:00Z,5,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
25,499175,2,11,Ethan Nwaneri,Nwaneri,3,0.1,5.0,1,11,Home,2025-08-23T16:30:00Z,5,0,52,0,0,0,0,0,0,0,3,1,0.02,0.01,0.03,0.00,4,1.2,5.6,1.8,5.0,False,u,has joined Marseille on loan for the rest of the season.,,,
26,481655,2,11,Martín Zubimendi Ibáñez,Zubimendi,3,3.1,5.0,1,11,Home,2025-08-23T16:30:00Z,5,0,90,0,0,1,0,0,0,0,12,3,0.02,0.02,0.04,0.17,8,1.4,6.4,6.9,1.0,False,a,,,,
27,200641,2,11,Reiss Nelson,Nelson,3,0.1,4.8,5,1,Away,2025-08-23T16:30:00Z,0,5,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
