code,web_name,element_type,gameweek,minutes,mins_score,goals_score,assists_score,xg_score,xgi_score,cs_score,bonus_score,goals_conceded_score,xgc_score,composite_score
223094,Haaland,4,1,72,1.2181818181818183,9.71875,5.5,10.0,10.0,9.15625,9.578125,7.1875,5.78125,8.158536931818182
466075,Calafiori,2,1,71,1.215151515151515,9.955,5.455,10.0,10.0,8.425,9.504999999999999,7.75,5.8149999999999995,8.154015151515152
219249,O'Riley,3,1,87,1.2636363636363637,9.724489795918368,5.010204081632653,9.938775510204081,9.96938775510204,8.53061224489796,9.908163265306122,7.336734693877551,6.387755102040816,8.093200371057515
223827,Ballard,2,1,90,1.2727272727272727,9.955,5.455,9.459999999999999,8.92,8.425,9.865,7.75,7.57,7.941522727272727
433036,Reijnders,3,1,90,1.2727272727272727,9.724489795918368,9.479591836734695,8.806122448979592,8.591836734693878,8.53061224489796,5.316326530612245,7.336734693877551,5.86734693877551,7.82778293135436
242898,Johnson,3,1,79,1.2393939393939393,9.724489795918368,5.010204081632653,9.755102040816325,9.326530612244898,8.53061224489796,5.316326530612245,7.336734693877551,4.520408163265306,7.588735312306741
212319,Richarlison,4,1,71,1.215151515151515,9.71875,5.5,8.59375,8.59375,9.15625,9.578125,7.1875,3.8125,7.567608901515151
510663,Ekitiké,4,1,71,1.215151515151515,8.453125,10.0,9.71875,9.71875,4.65625,8.734375,3.671875,2.96875,7.448077651515152
243526,Gudmundsson,2,1,90,1.2727272727272727,5.455,5.455,9.235,9.73,8.425,9.865,7.75,7.9750000000000005,7.2417727272727275
460842,Kudus,3,1,84,1.2545454545454546,5.255102040816327,10.0,6.877551020408163,9.60204081632653,8.53061224489796,9.724489795918368,7.336734693877551,4.520408163265306,7.196883116883117
477064,Lewis,2,1,65,1.196969696969697,5.455,9.955,4.1049999999999995,9.82,8.425,9.504999999999999,7.75,8.38,7.195946969696969
60689,Wood,4,1,78,1.2363636363636363,9.71875,5.5,9.4375,9.4375,4.65625,9.578125,3.671875,2.6875,7.183011363636363
466525,Stach,3,1,90,1.2727272727272727,5.255102040816327,9.479591836734695,9.142857142857142,9.326530612244898,8.53061224489796,5.316326530612245,7.336734693877551,6.112244897959185,7.163497217068647
437730,Semenyo,3,1,90,1.2727272727272727,10.0,5.010204081632653,10.0,9.96938775510204,4.030612244897959,10.0,1.0918367346938775,1.39795918367347,7.1481910946196665
