player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,25,241,David Raya Martín,Raya,1,33.9,6.0,1,17,Home,2026-02-07T15:00:00Z,3,0,90,0,0,1,0,0,0,1,30,7,0.00,0.00,0.00,0.19,0,3.2,21.6,10.1,0.0,False,a,,,,
2,109745,25,241,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,17,Home,2026-02-07T15:00:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
3,463748,25,241,Karl Hein,Hein,1,0.2,4.0,1,17,Home,2026-02-07T15:00:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,25,241,Tommy Setford,Setford,1,0.2,3.9,1,17,Home,2026-02-07T15:00:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
5,226597,25,241,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,17,Home,2026-02-07T15:00:00Z,3,0,90,0,0,1,0,0,0,0,28,6,0.00,0.01,0.01,0.19,7,1.9,17.2,1.7,0.0,False,a,,,,
6,462424,25,241,William Saliba,Saliba,2,14.3,6.1,1,17,Home,2026-02-07T15:00:00Z,3,0,90,0,0,1,0,1,0,0,28,7,0.00,0.02,0.02,0.19,11,2.7,20.4,6.4,0.0,False,a,,,,
7,466075,25,241,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,17,Home,2026-02-07T15:00:00Z,3,0,66,0,0,1,0,0,0,0,18,6,0.03,0.02,0.05,0.17,4,1.1,4.8,2.3,4.0,False,d,Knock - 75% chance of playing,,,
8,445122,25,241,Jurriën Timber,J.Timber,2,19.7,6.1,1,17,Home,2026-02-07T15:00:00Z,3,0,90,0,0,1,0,0,0,0,24,6,0.00,0.02,0.02,0.19,7,1.7,11.6,3.2,2.0,False,i,Ankle injury - Unknown return date,,,
9,440854,25,241,Jakub Kiwior,Kiwior,2,0.0,5.4,1,17,Home,2026-02-07T15:00:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,
10,499169,25,241,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,17,Home,2026-02-07T15:00:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
