player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,4,31,David Raya Martín,Raya,1,33.9,6.0,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,0,24,6,0.00,0.00,0.00,0.20,0,1.3,12.8,0.0,0.0,False,a,,,,
2,109745,4,31,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
3,463748,4,31,Karl Hein,Hein,1,0.2,4.0,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,4,31,Tommy Setford,Setford,1,0.2,3.9,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
5,226597,4,31,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,1,32,9,0.20,0.01,0.21,0.20,10,3.8,28.0,1.3,9.0,False,a,,,,
6,462424,4,31,William Saliba,Saliba,2,14.3,6.1,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
7,466075,4,31,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,16,Home,2025-09-13T11:30:00Z,3,0,67,0,0,1,0,1,0,0,16,5,0.00,0.01,0.01,0.10,3,2.0,5.4,12.6,2.0,False,d,Knock - 75% chance of playing,,,
8,445122,4,31,Jurriën Timber,J.Timber,2,19.7,6.1,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,2,37,8,0.30,0.02,0.32,0.20,6,6.8,19.8,13.0,35.0,False,i,Ankle injury - Unknown return date,,,
9,440854,4,31,Jakub Kiwior,Kiwior,2,0.0,5.4,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,
10,499169,4,31,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,16,Home,2025-09-13T11:30:00Z,3,0,22,0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.10,0,0.1,0.0,2.0,0.0,False,a,,,,
11,198869,4,31,Benjamin White,White,2,0.5,5.1,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
12,206325,4,31,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,1,Away,2025-09-13T11:30:00Z,0,3,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,
13,563324,4,31,Brayden Clarke,Clarke,2,0.4,3.7,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
14,588793,4,31,Maldini Kacurri,Kacurri,2,0.1,3.9,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,
15,499167,4,31,Josh Nichols,Nichols,2,0.2,3.7,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
16,223340,4,31,Bukayo Saka,Saka,3,7.0,9.8,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,d,Achilles injury - 75% chance of playing,2.0,2.0,1.0
17,184029,4,31,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,16,Home,2025-09-13T11:30:00Z,3,0,17,0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0,0.5,0.0,5.2,0.0,False,a,,4.0,,3.0
18,248857,4,31,Noni Madueke,Madueke,3,0.8,6.8,1,16,Home,2025-09-13T11:30:00Z,3,0,78,0,0,1,0,0,0,0,24,3,0.00,0.71,0.71,0.10,7,11.9,22.6,70.8,26.0,False,a,,3.0,,
19,444145,4,31,Gabriel Martinelli Silva,Martinelli,3,0.9,6.8,1,16,Home,2025-09-13T11:30:00Z,3,0,12,0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.10,1,0.6,2.0,4.3,0.0,False,a,,,,
20,116216,4,31,Leandro Trossard,Trossard,3,0.8,6.5,1,16,Home,2025-09-13T11:30:00Z,3,0,11,0,1,0,0,0,0,0,12,4,0.00,0.26,0.26,0.10,0,3.2,17.2,10.5,4.0,False,a,,,,4.0
21,204480,4,31,Declan Rice,Rice,3,24.5,7.2,1,16,Home,2025-09-13T11:30:00Z,3,0,22,0,0,0,0,0,0,0,1,1,0.00,0.03,0.03,0.10,3,0.7,3.4,1.3,2.0,False,a,,1.0,1.0,
22,195384,4,31,Mikel Merino Zazón,Merino,3,0.8,5.4,1,16,Home,2025-09-13T11:30:00Z,3,0,90,0,0,1,0,0,0,0,15,3,0.13,0.07,0.20,0.20,10,6.7,13.2,20.3,33.0,False,i,Foot injury - Unknown return date,,,
23,438098,4,31,Fábio Ferreira Vieira,Fábio Vieira,3,0.0,5.4,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger on loan for the rest of the season.,,,
24,128295,4,31,Christian Nørgaard,Nørgaard,3,0.1,5.1,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
25,499175,4,31,Ethan Nwaneri,Nwaneri,3,0.1,5.0,1,16,Home,2025-09-13T11:30:00Z,3,0,72,0,0,1,0,0,0,0,8,3,0.15,0.03,0.18,0.20,4,3.6,2.4,18.7,15.0,False,u,has joined Marseille on loan for the rest of the season.,,,
26,481655,4,31,Martín Zubimendi Ibáñez,Zubimendi,3,3.1,5.0,1,16,Home,2025-09-13T11:30:00Z,3,0,90,2,0,1,0,0,0,3,52,16,0.16,0.03,0.19,0.20,2,10.8,68.6,14.5,25.0,True,a,,,,
27,200641,4,33,Reiss Nelson,Nelson,3,0.1,4.8,5,7,Home,2025-09-13T19:00:00Z,2,2,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
28,588796,4,31,Ismeal Kabia,Kabia,3,0.1,4.5,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Shrewsbury Town on loan for the rest of the season.,,,
29,437742,4,31,Albert Sambi Lokonga,Sambi,3,0.0,4.5,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger permanently.,,,
30,219847,4,31,Kai Havertz,Havertz,4,0.8,7.3,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
31,205651,4,31,Gabriel Fernando de Jesus,G.Jesus,4,0.3,6.4,1,16,Home,2025-09-13T11:30:00Z,3,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
32,98980,4,36,Emiliano Martínez Romero,Martinez,1,4.8,5.1,2,9,Away,2025-09-13T14:00:00Z,0,0,90,0,0,1,0,0,0,0,27,6,0.00,0.00,0.00,2.08,0,2.0,20.2,0.0,0.0,False,a,,,,
33,72147,4,36,Marco Bizot,M.Bizot,1,0.4,4.2,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
34,462492,4,36,Joe Gauci,Gauci,1,0.1,4.0,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Port Vale on loan for the rest of the season.,,,
35,462381,4,36,Filip Marschall,Marschall,1,0.0,4.0,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Stevenage permanently.,,,
36,199796,4,36,Matty Cash,Cash,2,8.4,4.7,2,9,Away,2025-09-13T14:00:00Z,0,0,90,0,0,1,0,1,0,0,13,5,0.00,0.14,0.14,2.08,4,3.2,13.2,16.6,2.0,False,a,,3.0,,
37,101188,4,36,Lucas Digne,Digne,2,1.6,4.5,2,9,Away,2025-09-13T14:00:00Z,0,0,90,0,0,1,0,1,0,0,18,5,0.08,0.01,0.09,2.08,4,2.3,7.4,6.8,9.0,False,a,,2.0,2.0,
38,199798,4,36,Ezri Konsa Ngoyo,Konsa,2,7.8,4.4,2,9,Away,2025-09-13T14:00:00Z,0,0,90,0,0,1,0,0,0,0,28,6,0.00,0.01,0.01,2.08,4,1.6,15.4,1.0,0.0,False,a,,,,
39,441302,4,36,Ian Maatsen,Maatsen,2,0.6,4.2,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
40,149484,4,36,Tyrone Mings,Mings,2,0.7,4.3,2,9,Away,2025-09-13T14:00:00Z,0,0,90,0,0,1,0,0,0,1,30,9,0.22,0.01,0.23,2.08,13,4.5,36.0,1.3,8.0,False,a,,,,
41,244954,4,36,Pau Torres,Pau,2,0.3,4.3,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
42,606798,4,36,Andrés García,A.García,2,0.2,3.9,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
43,106468,4,36,Álex Moreno Lopera,Alex Moreno,2,1.6,4.0,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Girona permanently.,,,
44,515597,4,36,Lamare Bogarde,Bogarde,2,0.5,4.0,2,9,Away,2025-09-13T14:00:00Z,0,0,82,0,0,1,0,0,0,3,35,9,0.00,0.02,0.02,1.60,7,1.5,13.0,2.0,0.0,False,a,,,,
45,514315,4,36,Lino da Cruz Sousa,Sousa,2,0.2,3.8,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Rotherham on loan for the rest of the season.,,,
46,587178,4,36,Yasin Özcan,Yasin,2,0.1,4.0,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Anderlecht on loan for the rest of the season.,,,
47,244850,4,36,Morgan Rogers,Rogers,3,24.9,7.5,2,9,Away,2025-09-13T14:00:00Z,0,0,90,0,0,1,0,0,0,0,4,3,0.08,0.02,0.10,2.08,6,1.7,6.4,4.0,7.0,False,a,,,1.0,
48,166989,4,36,Youri Tielemans,Tielemans,3,0.7,5.9,2,9,Away,2025-09-13T14:00:00Z,0,0,45,0,0,0,0,0,0,0,10,1,0.00,0.02,0.02,1.17,4,0.6,3.4,2.3,0.0,False,a,,5.0,,
49,215711,4,36,Leon Bailey,Bailey,3,0.1,5.5,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,4.0,,
50,195546,4,36,Emiliano Buendía Stati,Buendía,3,0.4,5.3,2,9,Away,2025-09-13T14:00:00Z,0,0,70,0,0,1,0,1,0,0,6,2,0.16,0.06,0.22,1.53,8,3.5,8.6,13.2,13.0,False,a,,,6.0,2.0
51,469247,4,36,Samuel Iling-Junior,Iling Jr,3,0.0,5.5,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Pisa on loan for the rest of the season.,,,
52,232653,4,39,Jacob Ramsey,J.Ramsey,3,0.2,5.3,15,20,Home,2025-09-13T14:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
53,204646,4,36,Donyell Malen,Malen,3,0.4,5.1,2,9,Away,2025-09-13T14:00:00Z,0,0,7,0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.48,0,0.1,1.0,0.3,0.0,False,u,has joined Roma on loan for the rest of the season.,,,
54,122806,4,36,John McGinn,McGinn,3,0.7,5.3,2,9,Away,2025-09-13T14:00:00Z,0,0,90,0,0,1,0,0,0,0,12,3,0.00,0.03,0.03,2.08,8,2.4,10.4,13.4,0.0,False,a,,,,
55,88894,4,36,Ross Barkley,Barkley,3,0.1,4.8,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
56,491287,4,36,Enzo Barrenechea,Barrenechea,3,0.0,5.0,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Season-long loan to Benfica,,,
57,461421,4,36,Lewis Dobbin,Dobbin,3,0.0,5.0,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Preston North End on loan for the rest of the season.,,,
58,226944,4,36,Boubacar Kamara,Kamara,3,0.2,4.9,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,i,Knee injury - Expected back 01 Jun,,,
59,449871,4,36,Amadou Onana,Onana,3,0.7,4.8,2,9,Away,2025-09-13T14:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
