player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,24,234,David Raya Martín,Raya,1,33.9,6.0,1,11,Away,2026-01-31T15:00:00Z,4,0,90,0,0,1,0,0,0,0,24,6,0.00,0.00,0.00,0.15,0,1.0,9.6,0.0,0.0,False,a,,,,
2,109745,24,234,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
3,463748,24,234,Karl Hein,Hein,1,0.2,4.0,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,24,234,Tommy Setford,Setford,1,0.2,3.9,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
5,226597,24,234,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,11,Away,2026-01-31T15:00:00Z,4,0,90,0,0,1,0,0,0,0,30,8,0.02,0.05,0.07,0.15,13,5.3,33.6,0.8,19.0,False,a,,,,
6,462424,24,234,William Saliba,Saliba,2,14.3,6.1,1,11,Away,2026-01-31T15:00:00Z,4,0,90,0,0,1,0,0,0,0,21,6,0.00,0.02,0.02,0.15,3,1.3,10.2,3.1,0.0,False,a,,,,
7,466075,24,234,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,11,Away,2026-01-31T15:00:00Z,4,0,15,0,0,0,0,0,0,0,2,1,0.25,0.01,0.26,0.03,1,0.8,0.2,0.6,7.0,False,d,Knock - 75% chance of playing,,,
8,445122,24,234,Jurriën Timber,J.Timber,2,19.7,6.1,1,11,Away,2026-01-31T15:00:00Z,4,0,90,0,0,1,0,1,0,0,20,5,0.14,0.21,0.35,0.15,3,3.4,8.6,16.5,9.0,False,i,Ankle injury - Unknown return date,,,
9,440854,24,234,Jakub Kiwior,Kiwior,2,0.0,5.4,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,
10,499169,24,234,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
11,198869,24,234,Benjamin White,White,2,0.5,5.1,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
12,206325,24,237,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,8,Home,2026-02-01T14:00:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Ajax permanently.,,,
13,563324,24,234,Brayden Clarke,Clarke,2,0.4,3.7,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
14,588793,24,234,Maldini Kacurri,Kacurri,2,0.1,3.9,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,
15,499167,24,234,Josh Nichols,Nichols,2,0.2,3.7,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
16,223340,24,234,Bukayo Saka,Saka,3,7.0,9.8,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,d,Achilles injury - 75% chance of playing,2.0,2.0,1.0
17,184029,24,234,Martin Ødegaard,Ødegaard,3,1.6,7.8,1,11,Away,2026-01-31T15:00:00Z,4,0,29,0,1,0,0,0,0,0,16,4,0.00,0.22,0.22,0.03,1,4.6,20.0,26.2,0.0,False,a,,4.0,,3.0
18,248857,24,234,Noni Madueke,Madueke,3,0.8,6.8,1,11,Away,2026-01-31T15:00:00Z,4,0,60,1,1,1,0,0,0,3,43,14,0.01,0.27,0.28,0.12,2,10.7,59.4,34.7,13.0,True,a,,3.0,,
19,444145,24,234,Gabriel Martinelli Silva,Martinelli,3,0.9,6.8,1,11,Away,2026-01-31T15:00:00Z,4,0,29,0,1,0,0,0,0,0,19,4,0.11,0.29,0.40,0.03,4,5.4,23.2,14.2,17.0,False,a,,,,
20,116216,24,234,Leandro Trossard,Trossard,3,0.8,6.5,1,11,Away,2026-01-31T15:00:00Z,4,0,80,0,0,1,0,0,0,0,13,3,0.02,0.15,0.17,0.12,8,3.1,11.0,15.5,4.0,False,a,,,,4.0
21,204480,24,234,Declan Rice,Rice,3,24.5,7.2,1,11,Away,2026-01-31T15:00:00Z,4,0,90,0,0,1,0,0,0,0,20,3,0.00,0.40,0.40,0.15,9,6.7,19.0,44.4,4.0,False,a,,1.0,1.0,
22,195384,24,234,Mikel Merino Zazón,Merino,3,0.8,5.4,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,i,Foot injury - Unknown return date,,,
23,438098,24,234,Fábio Ferreira Vieira,Fábio Vieira,3,0.0,5.4,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Hamburger on loan for the rest of the season.,,,
24,128295,24,234,Christian Nørgaard,Nørgaard,3,0.1,5.1,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
25,499175,24,234,Ethan Nwaneri,Nwaneri,3,0.1,5.0,1,11,Away,2026-01-31T15:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Marseille on loan for the rest of the season.,,,
26,481655,24,234,Martín Zubimendi Ibáñez,Zubimendi,3,3.1,5.0,1,11,Away,2026-01-31T15:00:00Z,4,0,90,1,0,1,0,0,0,2,35,10,0.35,0.01,0.36,0.15,11,8.3,45.4,2.6,35.0,False,a,,,,
27,200641,24,231,Reiss Nelson,Nelson,3,0.1,4.8,5,2,Away,2026-02-01T14:00:00Z,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
