player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,10,92,David Raya Martín,Raya,1,33.9,6.0,1,3,Away,2025-11-01T15:00:00Z,2,0,90,0,0,1,0,0,0,0,20,6,0.00,0.00,0.00,0.42,0,0.3,2.8,0.1,0.0,False,a,,,,
2,109745,10,92,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,3,Away,2025-11-01T15:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
3,463748,10,92,Karl Hein,Hein,1,0.2,4.0,1,3,Away,2025-11-01T15:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,10,92,Tommy Setford,Setford,1,0.2,3.9,1,3,Away,2025-11-01T15:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
5,226597,10,92,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,3,Away,2025-11-01T15:00:00Z,2,0,90,0,1,1,0,1,0,2,39,12,0.00,0.52,0.52,0.42,11,5.1,36.0,11.3,4.0,True,a,,,,
6,462424,10,92,William Saliba,Saliba,2,14.3,6.1,1,3,Away,2025-11-01T15:00:00Z,2,0,90,0,0,1,0,0,0,0,29,6,0.00,0.01,0.01,0.42,6,2.5,19.2,6.1,0.0,False,a,,,,
7,466075,10,92,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,3,Away,2025-11-01T15:00:00Z,2,0,71,0,0,1,0,0,0,0,33,6,0.06,0.01,0.07,0.02,7,3.6,16.0,3.3,17.0,False,d,Knock - 75% chance of playing,,,
8,445122,10,92,Jurriën Timber,J.Timber,2,19.7,6.1,1,3,Away,2025-11-01T15:00:00Z,2,0,90,0,0,1,0,0,0,0,20,6,0.19,0.01,0.20,0.42,4,2.4,5.4,1.2,17.0,False,i,Ankle injury - Unknown return date,,,
9,440854,10,92,Jakub Kiwior,Kiwior,2,0.0,5.4,1,3,Away,2025-11-01T15:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,
10,499169,10,92,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,3,Away,2025-11-01T15:00:00Z,2,0,1,0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.05,1,0.2,2.0,0.0,0.0,False,a,,,,
11,198869,10,92,Benjamin White,White,2,0.5,5.1,1,3,Away,2025-11-01T15:00:00Z,2,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
