player_id,code,gameweek,fixture_id,name,web_name,element_type,selected_by_percent,value,team_id,opponent_id,h_a,kickoff_time,team_score,opponent_score,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,total_points,xG,xA,xGI,xGC,DefCon,ict_index,influence,creativity,threat,in_dreamteam,status,news,corners_indirect_freekicks_order,direct_freekicks_order,penalties_order
1,154561,5,41,David Raya Martín,Raya,1,33.9,6.0,1,13,Home,2025-09-21T15:30:00Z,1,1,90,0,0,0,1,0,0,0,13,2,0.00,0.01,0.01,0.89,0,2.1,21.4,0.0,0.0,False,a,,,,
2,109745,5,41,Kepa Arrizabalaga Revuelta,Arrizabalaga,1,0.4,4.0,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
3,463748,5,41,Karl Hein,Hein,1,0.2,4.0,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,Has joined Werder Bremen on loan for the rest of the season.,,,
4,551221,5,41,Tommy Setford,Setford,1,0.2,3.9,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
5,226597,5,41,Gabriel dos Santos Magalhães,Gabriel,2,43.2,7.1,1,13,Home,2025-09-21T15:30:00Z,1,1,90,0,0,0,1,0,0,0,13,2,0.00,0.01,0.01,0.89,8,2.2,19.6,2.3,0.0,False,a,,,,
6,462424,5,41,William Saliba,Saliba,2,14.3,6.1,1,13,Home,2025-09-21T15:30:00Z,1,1,90,0,0,0,1,0,0,0,15,2,0.13,0.02,0.15,0.89,9,2.9,22.0,3.0,4.0,False,a,,,,
7,466075,5,41,Riccardo Calafiori,Calafiori,2,5.9,5.6,1,13,Home,2025-09-21T15:30:00Z,1,1,90,0,0,0,1,0,0,0,7,2,0.14,0.05,0.19,0.89,5,2.9,3.6,6.2,19.0,False,d,Knock - 75% chance of playing,,,
8,445122,5,41,Jurriën Timber,J.Timber,2,19.7,6.1,1,13,Home,2025-09-21T15:30:00Z,1,1,79,0,0,0,1,1,0,0,16,1,0.00,0.05,0.05,0.65,8,3.9,17.0,13.9,8.0,False,i,Ankle injury - Unknown return date,,,
9,440854,5,41,Jakub Kiwior,Kiwior,2,0.0,5.4,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Porto on loan for the rest of the season.,,,
10,499169,5,41,Myles Lewis-Skelly,Lewis-Skelly,2,1.4,5.0,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
11,198869,5,41,Benjamin White,White,2,0.5,5.1,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
12,206325,5,44,Oleksandr Zinchenko,Zinchenko,2,0.2,4.9,16,3,Away,2025-09-20T14:00:00Z,1,1,90,0,0,0,1,0,0,0,19,2,0.04,0.07,0.11,0.85,9,6.3,29.6,18.0,15.0,False,u,has joined Ajax permanently.,,,
13,563324,5,41,Brayden Clarke,Clarke,2,0.4,3.7,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,a,,,,
14,588793,5,41,Maldini Kacurri,Kacurri,2,0.1,3.9,1,13,Home,2025-09-21T15:30:00Z,1,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0.0,0.0,0.0,0.0,False,u,has joined Morecambe on loan for the rest of the season.,,,
